Rk_adv,Team,S%_adv,SV%_adv,PDO,CF,CA,CF%,FF,FA,FF%,xGF,xGA,aGF,aGA,axDiff,SCF,SCA,SCF%,HDF,HDA,HDF%,HDGF,HDC%,HDGA,HDCO%,Rk_reg,AvAge,GP,W,L,OL,PTS,PTS%,GF,GA,SOW,SOL,SRS,SOS,GF/G,GA/G,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,PIM/G,oPIM/G,S,S%_reg,SA,SV%_reg,SO,Stanley_Cup_Champion,Year
1,Nashville Predators*,7.6,0.939,101.6,3854,3629,51.5,2857,2689,51.5,162.8,166.5,168,128,44,1540,1575,49.4,319,345,48.0,65,16.9,41,10.6,1.0,28.4,82,53,18,11,117,0.713,261,204,6.0,7.0,0.71,0.03,3.18,2.49,58,274,21.17,54,299,81.94,10,5,11.3,9.6,2641,9.9,2659,0.923,11,0,2018
2,Winnipeg Jets*,7.9,0.931,101.0,3815,3590,51.5,2847,2657,51.7,167.7,148.1,176,144,12,1578,1427,52.5,326,303,51.8,56,14.7,48,13.7,2.0,26.8,82,52,20,10,114,0.695,273,216,4.0,2.0,0.74,0.02,3.33,2.63,64,274,23.36,50,274,81.75,9,7,8.5,8.6,2643,10.3,2613,0.917,7,0,2018
3,Tampa Bay Lightning*,8.6,0.934,102.0,3879,3640,51.6,2925,2762,51.4,177.2,169.2,196,146,42,1695,1620,51.1,358,273,56.7,68,16.0,43,13.6,3.0,27.5,82,54,23,5,113,0.689,290,234,6.0,2.0,0.66,-0.07,3.54,2.85,66,276,23.91,64,267,76.03,9,3,9.2,9.5,2680,10.8,2683,0.913,8,0,2018
4,Boston Bruins*,7.3,0.929,100.2,3916,3373,53.7,2948,2532,53.8,171.6,145.8,166,138,2,1694,1466,53.6,338,315,51.8,55,14.0,47,13.0,4.0,28.6,82,50,20,12,112,0.683,267,211,3.0,3.0,0.62,-0.07,3.26,2.57,61,258,23.64,40,245,83.67,9,10,9.5,9.6,2703,9.9,2399,0.912,4,0,2018
5,Vegas Golden Knights*,7.8,0.927,100.5,3885,3755,50.9,2884,2802,50.7,167.4,164.7,175,157,15,1707,1603,51.6,287,296,49.2,47,14.1,54,15.4,5.0,28.0,82,51,24,7,109,0.665,268,225,4.0,3.0,0.52,-0.01,3.27,2.74,53,248,21.37,44,237,81.43,8,5,6.8,7.5,2686,10.0,2521,0.911,5,0,2018
6,Washington Capitals*,8.5,0.93,101.4,3618,3923,48.0,2659,2958,47.3,152.6,169.4,171,154,34,1579,1712,48.0,288,388,42.6,49,14.5,66,14.5,6.0,28.4,82,49,26,7,105,0.64,256,238,3.0,1.0,0.21,-0.04,3.12,2.9,55,244,22.54,53,269,80.3,4,8,9.8,9.2,2379,10.8,2613,0.909,3,1,2018
7,Toronto Maple Leafs*,8.3,0.933,101.6,3967,3999,49.8,2928,3089,48.7,189.9,178.2,187,158,17,1874,1791,51.1,420,365,53.5,73,14.8,55,13.1,7.0,28.3,82,49,26,7,105,0.64,270,230,7.0,2.0,0.49,-0.06,3.29,2.8,56,224,25.0,43,231,81.39,4,5,7.0,6.9,2640,10.2,2776,0.917,8,0,2018
8,Minnesota Wild*,7.6,0.932,100.7,3442,3850,47.2,2607,2809,48.1,163.7,143.5,160,145,-5,1514,1394,52.1,340,278,55.0,53,13.5,52,15.8,8.0,29.5,82,45,26,11,101,0.616,250,229,3.0,3.0,0.29,0.04,3.05,2.79,49,240,20.42,51,272,81.25,7,6,8.3,7.6,2476,10.1,2569,0.911,6,0,2018
9,Anaheim Ducks*,7.5,0.937,101.2,3665,3883,48.6,2753,2928,48.5,156.1,170.1,157,137,34,1620,1697,48.8,334,353,48.6,61,15.4,48,12.0,9.0,28.7,82,44,25,13,101,0.616,231,209,4.0,7.0,0.24,0.01,2.82,2.55,38,214,17.76,46,274,83.21,10,4,10.0,8.6,2475,9.3,2716,0.923,9,0,2018
10,San Jose Sharks*,7.1,0.922,99.3,4073,3929,50.9,2968,2773,51.7,173.8,167.6,159,166,-13,1695,1622,51.1,413,347,54.3,60,12.7,59,14.5,10.0,28.8,82,45,27,10,100,0.61,247,226,5.0,3.0,0.28,0.0,3.01,2.76,53,257,20.62,34,224,84.82,8,3,7.7,8.0,2702,9.1,2488,0.909,6,0,2018
11,Pittsburgh Penguins*,6.7,0.918,98.5,3969,3622,52.3,3016,2665,53.1,191.2,168.6,161,176,-38,1761,1624,52.0,382,356,51.8,54,12.4,63,15.0,11.0,27.7,82,47,29,6,100,0.61,270,248,2.0,2.0,0.23,-0.04,3.29,3.02,68,260,26.15,53,265,80.0,6,3,9.5,9.1,2823,9.6,2553,0.903,4,0,2018
12,Los Angeles Kings*,7.4,0.936,101.0,3695,3692,50.0,2739,2771,49.7,147.5,156.4,155,134,30,1593,1556,50.6,315,331,48.8,52,14.2,41,11.0,12.0,29.1,82,45,29,8,98,0.598,237,202,2.0,1.0,0.44,0.0,2.89,2.46,49,240,20.42,39,260,85.0,5,4,9.0,8.3,2544,9.3,2537,0.92,8,0,2018
13,Philadelphia Flyers*,7.3,0.93,100.3,3662,3705,49.7,2737,2729,50.1,160.8,152.8,158,145,5,1440,1573,47.8,335,316,51.5,63,15.8,60,16.0,13.0,27.4,82,42,26,14,98,0.598,249,236,2.0,7.0,0.07,-0.03,3.04,2.88,54,261,20.69,54,223,75.78,3,10,8.3,9.0,2631,9.5,2448,0.904,3,0,2018
14,Columbus Blue Jackets*,6.9,0.933,100.2,4049,3815,51.5,3106,2799,52.6,184.3,176.7,169,149,12,1791,1653,52.0,359,376,48.8,54,13.1,46,10.9,14.0,26.4,82,45,30,7,97,0.591,236,226,6.0,4.0,0.11,-0.04,2.88,2.76,39,227,17.18,51,214,76.17,4,7,6.9,7.3,2761,8.5,2567,0.912,5,0,2018
15,New Jersey Devils*,7.3,0.924,99.7,3586,3797,48.6,2769,2881,49.0,165.7,162.9,160,167,-10,1543,1590,49.2,328,295,52.6,55,14.4,52,15.0,15.0,27.7,82,44,29,9,97,0.591,243,240,5.0,4.0,0.02,-0.03,2.96,2.93,54,252,21.43,47,258,81.78,12,6,8.5,8.4,2599,9.3,2616,0.908,2,0,2018
16,Florida Panthers,7.1,0.929,100.0,3803,3927,49.2,2966,2963,50.0,167.9,173.2,167,168,4,1636,1580,50.9,306,350,46.6,51,14.3,56,13.8,16.0,27.8,82,44,30,8,96,0.585,245,243,3.0,3.0,-0.01,-0.04,2.99,2.96,47,249,18.88,45,227,80.18,10,5,11.0,11.7,2822,8.7,2838,0.914,7,0,2018
17,Colorado Avalanche*,7.6,0.936,101.3,3491,3842,47.6,2530,2847,47.1,141.4,158.9,152,140,30,1467,1557,48.5,262,334,44.0,34,11.5,51,13.2,17.0,26.4,82,43,30,9,95,0.579,255,236,2.0,1.0,0.28,0.04,3.11,2.88,65,296,21.96,45,269,83.27,7,13,8.9,9.8,2432,10.5,2731,0.914,5,0,2018
18,St. Louis Blues,6.7,0.933,100.0,3895,3639,51.7,2893,2597,52.7,162.0,156.7,150,138,7,1607,1473,52.2,321,317,50.3,48,13.0,51,13.9,18.0,28.5,82,44,32,6,94,0.573,223,222,3.0,0.0,0.1,0.05,2.72,2.71,38,246,15.45,47,231,79.65,5,9,7.7,8.2,2677,8.3,2438,0.909,4,0,2018
19,Dallas Stars,7.1,0.932,100.3,3727,3578,51.0,2681,2566,51.1,162.3,141.8,148,135,-8,1564,1479,51.4,321,278,53.6,45,12.3,33,10.6,19.0,28.5,82,42,32,8,92,0.561,231,222,4.0,3.0,0.17,0.04,2.82,2.71,47,244,19.26,54,281,80.78,7,10,10.1,9.6,2560,9.0,2447,0.909,6,0,2018
20,Calgary Flames,6.4,0.925,98.9,4176,3630,53.5,3126,2738,53.3,167.7,151.9,147,158,-27,1665,1554,51.7,374,340,52.4,46,11.0,54,13.7,20.0,28.4,82,37,35,10,84,0.512,216,243,2.0,5.0,-0.33,0.03,2.63,2.96,43,269,15.99,49,269,81.78,7,7,11.1,11.2,2759,7.8,2554,0.905,3,0,2018
21,Carolina Hurricanes,6.6,0.916,98.2,4260,3559,54.5,3114,2738,53.2,171.6,156.7,155,179,-39,1707,1561,52.2,385,319,54.7,65,14.4,57,15.2,21.0,27.0,82,36,35,11,83,0.506,225,253,3.0,3.0,-0.35,-0.01,2.74,3.09,44,239,18.41,43,191,77.49,3,6,6.2,7.1,2780,8.1,2367,0.893,2,0,2018
22,New York Islanders,8.1,0.923,100.4,3739,4139,47.5,2732,3106,46.8,174.4,196.6,177,190,9,1610,1839,46.7,347,376,48.0,61,15.0,68,15.3,22.0,28.4,82,35,37,10,80,0.488,261,293,3.0,3.0,-0.4,-0.01,3.18,3.57,58,250,23.2,63,235,73.19,5,11,7.8,8.1,2572,10.1,2918,0.9,2,0,2018
23,Edmonton Oilers,7.0,0.924,99.4,4049,3953,50.6,3037,2903,51.1,184.8,179.2,163,176,-19,1764,1714,50.7,374,360,51.0,51,12.0,50,12.2,23.0,26.8,82,36,40,6,78,0.476,229,262,5.0,1.0,-0.32,0.03,2.79,3.2,31,210,14.76,57,245,76.73,11,5,9.2,7.6,2740,8.4,2634,0.901,1,0,2018
24,New York Rangers,7.0,0.927,99.8,3537,4162,45.9,2690,3148,46.1,170.8,192.5,150,182,-10,1634,1769,48.0,376,419,47.3,60,13.8,65,13.4,24.0,28.7,82,34,39,9,77,0.47,228,263,3.0,5.0,-0.46,-0.01,2.78,3.21,51,241,21.16,46,247,81.38,5,5,8.0,8.0,2538,9.0,2898,0.909,3,0,2018
25,Chicago Blackhawks,6.6,0.924,99.1,4201,3822,52.4,2952,2832,51.0,181.9,181.2,157,173,-17,1732,1742,49.9,338,350,49.1,51,13.1,59,14.4,25.0,28.0,82,33,39,10,76,0.463,228,254,1.0,2.0,-0.26,0.07,2.78,3.1,43,269,15.99,49,236,79.24,5,7,7.5,8.9,2793,8.2,2697,0.906,2,0,2018
26,Vancouver Canucks,6.7,0.927,99.4,3498,3833,47.7,2642,2898,47.7,151.0,175.2,138,164,-2,1532,1773,46.4,308,338,47.7,47,13.2,54,13.8,26.0,28.2,82,31,40,11,73,0.445,218,259,0.0,5.0,-0.51,0.05,2.66,3.16,53,247,21.46,60,276,78.26,7,10,8.7,8.0,2464,8.8,2641,0.902,4,0,2018
27,Detroit Red Wings,7.0,0.925,99.5,3574,3748,48.8,2746,2818,49.4,154.2,170.7,148,167,-3,1507,1537,49.5,313,335,48.3,57,15.4,62,15.6,27.0,30.2,82,30,39,13,73,0.445,212,254,5.0,1.0,-0.48,-0.01,2.59,3.1,41,234,17.52,58,259,77.61,9,5,8.9,8.3,2490,8.5,2613,0.903,4,0,2018
28,Montreal Canadiens,5.9,0.928,98.7,3945,3862,50.5,2825,2785,50.4,164.3,154.0,130,158,-38,1560,1541,50.3,358,344,51.0,53,12.9,57,14.2,28.0,27.8,82,29,40,13,71,0.433,207,258,2.0,6.0,-0.68,0.0,2.52,3.15,52,244,21.31,68,263,74.14,7,6,8.6,8.8,2687,7.7,2650,0.903,4,0,2018
29,Arizona Coyotes,6.8,0.927,99.5,3774,4073,48.1,2729,3084,46.9,154.1,169.5,140,165,-10,1549,1780,46.5,356,398,47.2,42,10.6,55,12.1,29.0,26.5,82,29,41,12,70,0.427,206,251,2.0,5.0,-0.53,0.05,2.51,3.06,41,243,16.87,46,224,79.46,2,10,7.8,8.3,2450,8.4,2642,0.905,5,0,2018
30,Ottawa Senators,7.2,0.916,98.8,3686,4121,47.2,2719,2992,47.6,152.7,170.5,152,198,-28,1492,1665,47.3,321,354,47.6,59,15.5,56,13.7,30.0,29.3,82,28,43,11,67,0.409,219,284,2.0,7.0,-0.85,0.0,2.67,3.46,41,248,16.53,56,235,76.17,4,6,8.1,8.4,2515,8.7,2712,0.895,2,0,2018
31,Buffalo Sabres,5.8,0.923,98.0,3381,3720,47.6,2602,2868,47.6,136.1,160.6,119,176,-33,1330,1513,46.8,271,324,45.5,37,12.0,69,17.6,31.0,27.1,82,25,45,12,62,0.378,198,278,1.0,2.0,-0.98,0.01,2.41,3.39,49,257,19.07,52,235,77.87,9,10,8.2,8.8,2557,7.7,2681,0.896,3,0,2018
1,Tampa Bay Lightning*,8.9,0.927,101.7,3826,3595,51.6,2882,2733,51.3,185.1,172.6,206,157,37,1693,1660,50.5,380,325,53.9,71,15.7,62,16.0,1.0,27.1,82,62,16,4,128,0.78,319,221,6.0,1.0,1.21,-0.05,3.89,2.7,74,262,28.24,40,267,85.02,12,3,9.5,9.4,2620,12.2,2633,0.916,6,0,2019
2,Boston Bruins*,6.9,0.935,100.4,3872,3421,53.1,2955,2553,53.6,169.7,156.3,157,128,16,1579,1437,52.4,314,316,49.8,53,14.4,45,12.5,2.0,28.7,82,49,24,9,107,0.652,257,212,2.0,3.0,0.52,-0.01,3.13,2.59,65,251,25.9,49,244,79.92,7,15,9.7,9.9,2680,9.6,2416,0.912,9,0,2019
3,Calgary Flames*,8.4,0.924,100.8,3953,3386,53.9,2903,2560,53.1,184.0,155.0,188,149,10,1673,1549,51.9,357,332,51.8,71,16.6,44,11.7,3.0,27.7,82,50,25,7,107,0.652,289,223,0.0,4.0,0.7,-0.06,3.52,2.72,53,275,19.27,50,246,79.67,18,7,8.5,9.8,2656,10.9,2302,0.903,3,0,2019
4,Washington Capitals*,9.2,0.927,101.8,3715,3860,49.0,2768,2884,49.0,162.4,178.0,197,161,52,1624,1687,49.0,316,401,44.1,50,13.7,56,12.3,4.0,28.8,82,48,26,8,104,0.634,274,248,4.0,1.0,0.35,-0.01,3.34,3.02,49,236,20.76,55,261,78.93,5,5,8.9,8.6,2492,11.0,2584,0.904,4,0,2019
5,New York Islanders*,7.9,0.94,101.9,3548,3867,47.8,2616,2803,48.3,175.1,169.3,162,128,28,1631,1585,50.7,368,330,52.7,66,15.2,51,13.4,5.0,28.4,82,48,27,7,103,0.628,223,191,5.0,5.0,0.38,-0.01,2.72,2.33,33,227,14.54,44,219,79.91,6,1,7.9,7.7,2360,9.4,2534,0.925,11,0,2019
