Year,Team,AvAge,GP,W,L,OL,PTS,PTS%,GF,GA,SRS,SOS,GF/G,GA/G,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,S,S%,SA,SV%,PDO,SO
2022,Colorado Avalanche,28.2,82,56,19,7,119,0.726,308,232,0.91,-0.04,3.76,2.83,67,279,24.01,48,236,79.66,6,5,2874,10.7,2625,0.912,101.2,7
2022,League Average,28.2,82,41,32,9,91,0.555,255,255,,,,,49,237,20.61,49,237,79.39,7,7,2593,9.8,2593,0.902,,4
2021,Tampa Bay Lightning,28.4,56,36,17,3,75,0.67,180,145,0.53,-0.08,3.21,2.59,40,180,22.22,29,183,84.15,3,3,1692,10.6,1583,0.908,100.8,6
2021,League Average,28.1,56,28,22,6,62,0.556,162,162,,,,,32,162,19.78,32,162,80.22,4,4,1678,9.7,1678,0.903,,4
2020,Tampa Bay Lightning,27.7,70,43,21,6,92,0.657,243,194,0.71,0,3.47,2.77,49,211,23.22,43,231,81.39,6,7,2176,11.2,2165,0.91,101.9,4
2020,League Average,27.9,70,35,27,8,78,0.558,208,208,,,,,42,208,20.03,42,208,79.97,6,6,2192,9.5,2192,0.905,,4
2019,St. Louis Blues,28,82,45,28,9,99,0.604,244,220,0.28,-0.01,2.98,2.68,50,237,21.1,43,232,81.47,5,7,2604,9.4,2345,0.906,100.2,9
2019,League Average,27.9,82,41,32,9,91,0.553,244,244,,,,,47,239,19.78,47,239,80.22,8,8,2579,9.5,2579,0.905,,5
2018,Washington Capitals,28.4,82,49,26,7,105,0.64,256,238,0.21,-0.04,3.12,2.9,55,244,22.54,53,269,80.3,4,8,2379,10.8,2613,0.909,101.4,3
2018,League Average,28,82,41,31,10,92,0.558,240,240,,,,,50,250,20.18,50,250,79.82,7,7,2620,9.2,2620,0.908,,5
2017,Pittsburgh Penguins,28.7,82,50,21,11,111,0.677,278,229,0.59,0.01,3.39,2.79,60,260,23.08,52,257,79.77,5,7,2745,10.1,2671,0.914,101,5
2017,League Average,28,82,41,31,10,92,0.559,223,223,,,,,47,245,19.1,47,245,80.9,6,6,2478,9,2478,0.91,,5
2016,Pittsburgh Penguins,29,82,48,26,8,104,0.634,241,199,0.5,-0.01,2.94,2.43,48,261,18.39,40,257,84.44,11,5,2722,8.9,2436,0.918,100.5,6
2016,League Average,28,82,41,32,9,91,0.556,219,219,,,,,48,255,18.66,48,255,81.34,6,6,2438,9,2438,0.91,,5
2015,Chicago Blackhawks,29.3,82,48,28,6,102,0.622,220,186,0.51,0.02,2.68,2.27,46,260,17.69,35,211,83.41,3,7,2777,7.9,2477,0.925,100.3,5
2015,League Average,28.2,82,41,31,10,92,0.562,218,218,,,,,47,251,18.66,47,251,81.34,6,6,2453,8.9,2453,0.911,,6
2014,Los Angeles Kings,27.4,82,46,28,8,100,0.61,198,168,0.4,0.01,2.41,2.05,43,284,15.14,50,296,83.11,5,6,2595,7.6,2148,0.922,100.1,13
2014,League Average,27.5,82,41,31,10,92,0.562,219,219,,,,,48,269,17.89,48,269,82.11,7,7,2463,8.9,2463,0.911,,5
2013,Chicago Blackhawks,26.8,48,36,7,5,77,0.802,149,97,1.04,-0.07,3.1,2.02,25,150,16.67,18,141,87.23,5,5,1494,10,1258,0.923,101.7,7
2013,League Average,27.6,48,24,19,5,53,0.556,127,127,,,,,29,160,18.22,29,160,81.78,3,3,1399,9.1,1399,0.909,,4
